t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7768,0.7768,336,0.6095262840390205
0,NY,0.3333333333333333,0.7518,0.7518,334,0.6095262840390205
0,TX,0.3333333333333333,0.7698,0.7698,330,0.6095262840390205
1,CA,0.3353465197040616,0.7732,0.7732,356,0.0446338355541229
1,NY,0.3306281141476672,0.747,0.747,319,0.0446338355541229
1,TX,0.3340253661482711,0.7628,0.7628,325,0.0446338355541229
2,CA,0.3376575507331092,0.7732,0.7732,340,0.0396070405840873
2,NY,0.327987750872651,0.754,0.754,314,0.0396070405840873
2,TX,0.3343546983942396,0.7612,0.7612,346,0.0396070405840873
3,CA,0.3396322177256728,0.773,0.773,311,0.039400964975357
3,NY,0.3263336858309987,0.7512,0.7512,343,0.039400964975357
3,TX,0.3340340964433285,0.7648,0.7648,346,0.039400964975357
4,CA,0.341530215349852,0.7794,0.7794,350,0.0394477546215057
4,NY,0.3241224926357777,0.7542,0.7542,321,0.0394477546215057
4,TX,0.3343472920143701,0.7714,0.7714,329,0.0394477546215057
5,CA,0.3436240676049412,0.776,0.776,316,0.0406219884753227
5,NY,0.3214912320781941,0.7526,0.7526,331,0.0406219884753227
5,TX,0.3348847003168645,0.7676,0.7676,353,0.0406219884753227
6,CA,0.3456355901222581,0.7736,0.7736,370,0.0387617498636245
6,NY,0.3191125320705927,0.7528,0.7528,320,0.0387617498636245
6,TX,0.3352518778071492,0.7704,0.7704,310,0.0387617498636245
7,CA,0.3471447275807668,0.7702,0.7702,325,0.0391012653708457
7,NY,0.3167471111009024,0.7514,0.7514,306,0.0391012653708457
7,TX,0.3361081613183307,0.7752,0.7752,369,0.0391012653708457
8,CA,0.3479849681458131,0.7762,0.7762,347,0.0390803664922714
8,NY,0.3141416945887322,0.7606,0.7606,317,0.0390803664922714
8,TX,0.3378733372654546,0.7678,0.7678,336,0.0390803664922714
9,CA,0.3495077425000669,0.7786,0.7786,343,0.0398461669683456
9,NY,0.3127452560176243,0.7582,0.7582,313,0.0398461669683456
9,TX,0.3377470014823087,0.771,0.771,344,0.0398461669683456
10,CA,0.35127475771245,0.7738,0.7738,345,0.0394987016916275
10,NY,0.3107211820501002,0.7528,0.7528,320,0.0394987016916275
10,TX,0.3380040602374498,0.762,0.762,335,0.0394987016916275
11,CA,0.3533692329633525,0.7746,0.7746,356,0.0387501046061515
11,NY,0.3088732979810297,0.758,0.758,304,0.0387501046061515
11,TX,0.3377574690556176,0.7714,0.7714,340,0.0387501046061515
12,CA,0.3546097718150358,0.775,0.775,356,0.0388231799006462
12,NY,0.307058217237154,0.752,0.752,294,0.0388231799006462
12,TX,0.3383320109478101,0.766,0.766,350,0.0388231799006462
13,CA,0.3566405791325782,0.7762,0.7762,343,0.0390420630574226
13,NY,0.3048151340069882,0.7508,0.7508,314,0.0390420630574226
13,TX,0.3385442868604335,0.7724,0.7724,343,0.0390420630574226
14,CA,0.3584627153651257,0.7738,0.7738,344,0.0389684364199638
14,NY,0.3019913002052174,0.7568,0.7568,318,0.0389684364199638
14,TX,0.3395459844296568,0.768,0.768,338,0.0389684364199638
15,CA,0.3599039582149004,0.7764,0.7764,356,0.0394222289323806
15,NY,0.3002995883901054,0.7594,0.7594,293,0.0394222289323806
15,TX,0.3397964533949941,0.769,0.769,351,0.0394222289323806
16,CA,0.3614543595047084,0.7734,0.7734,344,0.0386152118444442
16,NY,0.2987070027788639,0.7524,0.7524,299,0.0386152118444442
16,TX,0.3398386377164277,0.7646,0.7646,357,0.0386152118444442
17,CA,0.3633523452671934,0.7752,0.7752,376,0.0388969182968139
17,NY,0.2967197436422791,0.7584,0.7584,287,0.0388969182968139
17,TX,0.3399279110905275,0.769,0.769,337,0.0388969182968139
18,CA,0.3648098677029764,0.767,0.767,343,0.0390025600790977
18,NY,0.2950906440442397,0.7498,0.7498,290,0.0390025600790977
18,TX,0.3400994882527839,0.7732,0.7732,367,0.0390025600790977
19,CA,0.3654234445319895,0.7768,0.7768,354,0.0386825576424598
19,NY,0.2927097123720134,0.7586,0.7586,303,0.0386825576424598
