t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7752,0.7752,327,0.0592003539204597
0,NY,0.3333333333333333,0.7548,0.7548,317,0.0592003539204597
0,TX,0.3333333333333333,0.7674,0.7674,356,0.0592003539204597
1,CA,0.335107788726545,0.7738,0.7738,329,0.0435061082243919
1,NY,0.3312568429795749,0.7562,0.7562,324,0.0435061082243919
1,TX,0.33363536829388,0.7664,0.7664,347,0.0435061082243919
2,CA,0.3366830169479669,0.7726,0.7726,317,0.0385128781199455
2,NY,0.3295117221362703,0.7552,0.7552,340,0.0385128781199455
2,TX,0.3338052609157627,0.7716,0.7716,343,0.0385128781199455
3,CA,0.3378393838726572,0.774,0.774,350,0.0382069945335388
3,NY,0.3273978328927522,0.7558,0.7558,308,0.0382069945335388
3,TX,0.3347627832345904,0.769,0.769,342,0.0382069945335388
4,CA,0.3392991840845338,0.7776,0.7776,345,0.0389213114976882
4,NY,0.325439128707599,0.7482,0.7482,344,0.0389213114976882
4,TX,0.3352616872078671,0.7716,0.7716,311,0.0389213114976882
5,CA,0.3415239081151252,0.7746,0.7746,337,0.0396226197481155
5,NY,0.3221551949860911,0.7572,0.7572,331,0.0396226197481155
5,TX,0.3363208968987837,0.7662,0.7662,332,0.0396226197481155
6,CA,0.3431541311628058,0.7776,0.7776,333,0.0383834391832351
6,NY,0.3205191457421871,0.7544,0.7544,320,0.0383834391832351
6,TX,0.336326723095007,0.766,0.766,347,0.0383834391832351
7,CA,0.3453567976559894,0.7744,0.7744,336,0.0377531871199607
7,NY,0.3183664762920279,0.7538,0.7538,315,0.0377531871199607
7,TX,0.3362767260519825,0.7636,0.7636,349,0.0377531871199607
8,CA,0.3473515906347368,0.776,0.776,340,0.037537395954132
8,NY,0.3164879293355437,0.7522,0.7522,289,0.037537395954132
8,TX,0.3361604800297196,0.7658,0.7658,371,0.037537395954132
9,CA,0.3495087146571445,0.7752,0.7752,339,0.0379543006420135
9,NY,0.3141858215071015,0.7572,0.7572,322,0.0379543006420135
9,TX,0.336305463835754,0.77,0.77,339,0.0379543006420135
10,CA,0.3509725765917476,0.77,0.77,367,0.0378689989447593
10,NY,0.3123026452999678,0.7486,0.7486,274,0.0378689989447593
10,TX,0.3367247781082845,0.7624,0.7624,359,0.0378689989447593
11,CA,0.352814865173956,0.7704,0.7704,372,0.0373737066984176
11,NY,0.3101462693646539,0.753,0.753,303,0.0373737066984176
11,TX,0.33703886546139,0.7718,0.7718,325,0.0373737066984176
12,CA,0.3537990217166458,0.77,0.77,366,0.0377288535237312
12,NY,0.3079546948771545,0.7502,0.7502,320,0.0377288535237312
12,TX,0.3382462834061996,0.7624,0.7624,314,0.0377288535237312
13,CA,0.3555401994375643,0.7782,0.7782,359,0.0378184095025062
13,NY,0.3060083848118764,0.7544,0.7544,301,0.0378184095025062
13,TX,0.3384514157505592,0.7704,0.7704,340,0.0378184095025062
14,CA,0.3575353602699473,0.7768,0.7768,366,0.038083516061306
14,NY,0.303606893155307,0.7532,0.7532,313,0.038083516061306
14,TX,0.3388577465747456,0.7658,0.7658,321,0.038083516061306
15,CA,0.3597407276164331,0.7792,0.7792,340,0.039099670946598
15,NY,0.3014221427393277,0.757,0.757,320,0.039099670946598
15,TX,0.338837129644239,0.7692,0.7692,340,0.039099670946598
16,CA,0.3617904279553416,0.7732,0.7732,347,0.0376333743333816
16,NY,0.2993571310534649,0.7546,0.7546,283,0.0376333743333816
16,TX,0.3388524409911934,0.7724,0.7724,370,0.0376333743333816
17,CA,0.3629857352713708,0.7732,0.7732,333,0.0379320010542869
17,NY,0.2971956828141702,0.758,0.758,313,0.0379320010542869
17,TX,0.3398185819144589,0.7672,0.7672,354,0.0379320010542869
18,CA,0.3643328310260113,0.7712,0.7712,369,0.0379360541701316
18,NY,0.2957415840039281,0.7572,0.7572,287,0.0379360541701316
18,TX,0.3399255849700606,0.7654,0.7654,344,0.0379360541701316
19,CA,0.3655944022289715,0.7802,0.7802,359,0.0378208234906196
19,NY,0.2944199364893963,0.75,0.75,308,0.0378208234906196
19,TX,0.3399856612816321,0.7706,0.7706,333,0.0378208234906196
20,CA,0.3681078714826339,0.7732,0.7732,370,0.0386161133646965
20,NY,0.2914150879805802,0.7452,0.7452,280,0.0386161133646965
20,TX,0.3404770405367858,0.7638,0.7638,350,0.0386161133646965
21,CA,0.3704813815231854,0.7706,0.7706,398,0.0405976772308349
21,NY,0.2886627856831537,0.747,0.747,261,0.0405976772308349
21,TX,0.3408558327936607,0.7578,0.7578,341,0.0405976772308349
22,CA,0.3728345805688115,0.777,0.777,363,0.03732181340456
22,NY,0.2866243234050276,0.7538,0.7538,304,0.03732181340456
22,TX,0.3405410960261608,0.775,0.775,333,0.03732181340456
23,CA,0.3743790292147408,0.775,0.775,366,0.0372311398386955
23,NY,0.2840540643813656,0.7582,0.7582,297,0.0372311398386955
23,TX,0.3415669064038935,0.7644,0.7644,337,0.0372311398386955
24,CA,0.3761576120708712,0.7662,0.7662,356,0.0382929295301437
24,NY,0.2827022513377108,0.7516,0.7516,297,0.0382929295301437
24,TX,0.3411401365914179,0.7644,0.7644,347,0.0382929295301437
25,CA,0.3771701555097363,0.7726,0.7726,382,0.0384100675582885
25,NY,0.281120029158322,0.7546,0.7546,277,0.0384100675582885
25,TX,0.3417098153319414,0.7636,0.7636,341,0.0384100675582885
26,CA,0.3789092022940317,0.774,0.774,393,0.0379803851246833
