t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.721,0.721,336,0.6813614880666137
0,NY,0.3333333333333333,0.6864,0.6864,334,0.6813614880666137
0,TX,0.3333333333333333,0.6892,0.6892,330,0.6813614880666137
1,CA,0.337676097790684,0.7208,0.7208,359,0.0409956686198711
1,NY,0.3308872581721147,0.6824,0.6824,319,0.0409956686198711
1,TX,0.3314366440372012,0.68,0.68,322,0.0409956686198711
2,CA,0.3429026705490308,0.7192,0.7192,346,0.0390700669959187
2,NY,0.3285106495553197,0.6814,0.6814,314,0.0390700669959187
2,TX,0.3285866798956494,0.6856,0.6856,340,0.0390700669959187
3,CA,0.3476462492236628,0.7212,0.7212,317,0.0380565114319324
3,NY,0.3257322612720547,0.6816,0.6816,344,0.0380565114319324
3,TX,0.3266214895042824,0.6922,0.6922,339,0.0380565114319324
4,CA,0.352224227082068,0.7252,0.7252,361,0.0378594631329178
4,NY,0.3224287890322713,0.6826,0.6826,319,0.0378594631329178
4,TX,0.3253469838856607,0.6824,0.6824,320,0.0378594631329178
5,CA,0.3579634943224093,0.7304,0.7304,330,0.0379460323601961
5,NY,0.3195911624111078,0.6926,0.6926,309,0.0379460323601961
5,TX,0.3224453432664829,0.6976,0.6976,361,0.0379460323601961
6,CA,0.3627126218976733,0.734,0.734,378,0.0384977702051401
6,NY,0.3167572189262757,0.6952,0.6952,314,0.0384977702051401
6,TX,0.320530159176051,0.6994,0.6994,308,0.0384977702051401
7,CA,0.3676701306446311,0.7222,0.7222,344,0.0405795499682426
7,NY,0.3139019781619956,0.6886,0.6886,329,0.0405795499682426
7,TX,0.318427891193373,0.6956,0.6956,327,0.0405795499682426
8,CA,0.3717754382270171,0.7378,0.7378,374,0.0380402524024248
8,NY,0.3112143381362091,0.6946,0.6946,300,0.0380402524024248
8,TX,0.3170102236367739,0.7028,0.7028,326,0.0380402524024248
9,CA,0.377100549613043,0.7332,0.7332,373,0.0391552960500121
9,NY,0.3078247091194369,0.6858,0.6858,316,0.0391552960500121
9,TX,0.31507474126752,0.685,0.685,311,0.0391552960500121
10,CA,0.3836926365525467,0.7182,0.7182,391,0.0384899014607071
10,NY,0.3046401539999104,0.6742,0.6742,299,0.0384899014607071
10,TX,0.3116672094475428,0.6746,0.6746,310,0.0384899014607071
11,CA,0.3898166412644169,0.738,0.738,383,0.0381932510063052
11,NY,0.3015766270679669,0.6962,0.6962,316,0.0381932510063052
11,TX,0.3086067316676161,0.701,0.701,301,0.0381932510063052
12,CA,0.3952806000137648,0.7348,0.7348,379,0.037932813167572
12,NY,0.298448974729832,0.6858,0.6858,300,0.037932813167572
12,TX,0.3062704252564032,0.6942,0.6942,321,0.037932813167572
13,CA,0.4015436859950648,0.7216,0.7216,404,0.0384737104177475
13,NY,0.2946144395285215,0.6862,0.6862,310,0.0384737104177475
13,TX,0.3038418744764136,0.6858,0.6858,286,0.0384737104177475
14,CA,0.4065755520923542,0.7358,0.7358,425,0.0400876617059111
14,NY,0.2921724878427484,0.697,0.697,265,0.0400876617059111
14,TX,0.3012519600648973,0.7094,0.7094,310,0.0400876617059111
15,CA,0.411144458071204,0.7174,0.7174,390,0.0378650929778814
15,NY,0.2888515199222234,0.6742,0.6742,306,0.0378650929778814
15,TX,0.3000040220065725,0.6744,0.6744,304,0.0378650929778814
16,CA,0.4173111965473315,0.7246,0.7246,421,0.0383549816906452
16,NY,0.2858091527821493,0.6876,0.6876,284,0.0383549816906452
16,TX,0.2968796506705191,0.6896,0.6896,295,0.0383549816906452
17,CA,0.4224468248433834,0.7094,0.7094,392,0.0383339300751686
17,NY,0.283119172769049,0.6632,0.6632,289,0.0383339300751686
17,TX,0.2944340023875677,0.6596,0.6596,319,0.0383339300751686
18,CA,0.4294160864242084,0.7302,0.7302,411,0.0382501417770981
18,NY,0.2800117892630668,0.6818,0.6818,288,0.0382501417770981
18,TX,0.2905721243127248,0.6856,0.6856,301,0.0382501417770981
19,CA,0.436098482129385,0.7442,0.7442,466,0.0380422910675406
19,NY,0.2764143735977191,0.7004,0.7004,243,0.0380422910675406
19,TX,0.2874871442728959,0.7138,0.7138,291,0.0380422910675406
20,CA,0.4413737509225762,0.7292,0.7292,449,0.040763009339571
20,NY,0.2727327950350699,0.6824,0.6824,273,0.040763009339571
20,TX,0.2858934540423538,0.689,0.689,278,0.040763009339571
21,CA,0.4476533267002802,0.7384,0.7384,477,0.0383446598425507
21,NY,0.2691266533131761,0.692,0.692,258,0.0383446598425507
21,TX,0.2832200199865437,0.7064,0.7064,265,0.0383446598425507
22,CA,0.4532724336067547,0.7172,0.7172,476,0.0377031443640589
22,NY,0.2652313449772582,0.6778,0.6778,239,0.0377031443640589
22,TX,0.2814962214159871,0.6792,0.6792,285,0.0377031443640589
23,CA,0.4589239899148233,0.7284,0.7284,473,0.0377081036567688
23,NY,0.2623769086817542,0.6906,0.6906,241,0.0377081036567688
23,TX,0.2786991014034224,0.697,0.697,286,0.0377081036567688
24,CA,0.4639351007108185,0.712,0.712,463,0.0385702103376388
24,NY,0.2594410474749258,0.6686,0.6686,271,0.0385702103376388
24,TX,0.2766238518142558,0.659,0.659,266,0.0385702103376388
25,CA,0.4710673704165214,0.725,0.725,473,0.0386991584673523
25,NY,0.2567514819328509,0.6852,0.6852,252,0.0386991584673523
25,TX,0.2721811476506277,0.689,0.689,275,0.0386991584673523
26,CA,0.4765979037487511,0.7142,0.7142,484,0.0382774220779538
26,NY,0.2537724163795777,0.6736,0.6736,252,0.0382774220779538
26,TX,0.2696296798716711,0.6686,0.6686,264,0.0382774220779538
27,CA,0.4829648219264612,0.7168,0.7168,475,0.0376141145825386
27,NY,0.2510718151922261,0.6782,0.6782,260,0.0376141145825386
27,TX,0.2659633628813126,0.6728,0.6728,265,0.0376141145825386
28,CA,0.489059192267444,0.7104,0.7104,474,0.0382855609059333
28,NY,0.2485237521974935,0.6664,0.6664,259,0.0382855609059333
28,TX,0.2624170555350624,0.6624,0.6624,267,0.0382855609059333
29,CA,0.4958813482687794,0.7276,0.7276,487,0.0381070524454116
29,NY,0.2455080959553361,0.693,0.693,237,0.0381070524454116
29,TX,0.2586105557758845,0.6992,0.6992,276,0.0381070524454116
30,CA,0.5004697953029181,0.7312,0.7312,495,0.0373767148703336
30,NY,0.2428173299702324,0.6846,0.6846,220,0.0373767148703336
30,TX,0.2567128747268494,0.6858,0.6858,285,0.0373767148703336
31,CA,0.5071994614589558,0.717,0.717,486,0.0388328377157449
31,NY,0.2394584374124414,0.6702,0.6702,251,0.0388328377157449
31,TX,0.2533421011286028,0.6678,0.6678,263,0.0388328377157449
32,CA,0.5142896151194896,0.7376,0.7376,504,0.0380940213799476
32,NY,0.2361877122145823,0.6928,0.6928,237,0.0380940213799476
32,TX,0.2495226726659281,0.705,0.705,259,0.0380940213799476
33,CA,0.5198893308456498,0.7262,0.7262,532,0.0402405317872762
33,NY,0.2326035250245907,0.689,0.689,216,0.0402405317872762
33,TX,0.2475071441297595,0.6888,0.6888,252,0.0402405317872762
34,CA,0.5253398207533712,0.7376,0.7376,543,0.0378016037866473
34,NY,0.2299769160910963,0.6976,0.6976,227,0.0378016037866473
34,TX,0.2446832631555325,0.7044,0.7044,230,0.0378016037866473
35,CA,0.5306297994940231,0.7122,0.7122,545,0.0380891412496566
35,NY,0.2269452612124844,0.672,0.672,221,0.0380891412496566
35,TX,0.2424249392934926,0.6668,0.6668,234,0.0380891412496566
36,CA,0.5369423028606479,0.718,0.718,566,0.0384062202647328
36,NY,0.2242533216230195,0.6812,0.6812,211,0.0384062202647328
36,TX,0.2388043755163325,0.6744,0.6744,223,0.0384062202647328
37,CA,0.5428397266079682,0.7426,0.7426,510,0.037834633141756
37,NY,0.2218600509289796,0.6962,0.6962,242,0.037834633141756
37,TX,0.2353002224630521,0.7008,0.7008,248,0.037834633141756
38,CA,0.5491836887254948,0.714,0.714,562,0.0384216904640197
38,NY,0.2184763664106234,0.6768,0.6768,229,0.0384216904640197
38,TX,0.2323399448638816,0.6782,0.6782,209,0.0384216904640197
39,CA,0.5545039146630535,0.7166,0.7166,555,0.0397945344448089
39,NY,0.2158051967710385,0.6694,0.6694,194,0.0397945344448089
39,TX,0.2296908885659079,0.6686,0.6686,251,0.0397945344448089
40,CA,0.5614413649011303,0.7264,0.7264,551,0.0384771600365638
40,NY,0.2124970913318825,0.6828,0.6828,210,0.0384771600365638
40,TX,0.2260615437669871,0.6834,0.6834,239,0.0384771600365638
41,CA,0.5676842872492388,0.7092,0.7092,589,0.0383375901728868
41,NY,0.2094336843166455,0.66,0.66,212,0.0383375901728868
41,TX,0.2228820284341157,0.6572,0.6572,199,0.0383375901728868
42,CA,0.5750503971099702,0.741,0.741,566,0.0385471386834979
42,NY,0.2060443787502834,0.6938,0.6938,224,0.0385471386834979
42,TX,0.2189052241397464,0.7014,0.7014,210,0.0385471386834979
43,CA,0.5811907699146354,0.7312,0.7312,593,0.0384393194690346
43,NY,0.2025988281045844,0.6858,0.6858,175,0.0384393194690346
43,TX,0.2162104019807801,0.6852,0.6852,232,0.0384393194690346
44,CA,0.587689458854706,0.7294,0.7294,602,0.0383726116269826
44,NY,0.1994917442222923,0.6948,0.6948,211,0.0383726116269826
44,TX,0.2128187969230015,0.7014,0.7014,187,0.0383726116269826
45,CA,0.5920927819571742,0.7096,0.7096,579,0.0372261255979537
45,NY,0.1969653326879998,0.6746,0.6746,189,0.0372261255979537
45,TX,0.210941885354826,0.6698,0.6698,232,0.0372261255979537
46,CA,0.5974357621126951,0.7318,0.7318,608,0.037750263698399
46,NY,0.1946739408514272,0.6874,0.6874,197,0.037750263698399
46,TX,0.2078902970358776,0.6914,0.6914,195,0.037750263698399
47,CA,0.6033734371805116,0.7312,0.7312,591,0.0383341815322637
47,NY,0.1915680600609725,0.6844,0.6844,193,0.0383341815322637
47,TX,0.2050585027585158,0.6902,0.6902,216,0.0383341815322637
48,CA,0.609489734197104,0.734,0.734,592,0.0373235065490007
48,NY,0.1882787467260972,0.6892,0.6892,200,0.0373235065490007
48,TX,0.2022315190767989,0.6952,0.6952,208,0.0373235065490007
49,CA,0.6152668095080733,0.7272,0.7272,633,0.0374458841979503
49,NY,0.1851528370696704,0.689,0.689,171,0.0374458841979503
49,TX,0.1995803534222561,0.6892,0.6892,196,0.0374458841979503
50,CA,0.6205326034117137,0.7438,0.7438,625,0.0385050801560282
50,NY,0.1826074568951914,0.6992,0.6992,180,0.0385050801560282
50,TX,0.1968599396930949,0.709,0.709,195,0.0385050801560282
51,CA,0.6259148749543936,0.7172,0.7172,633,0.0401952723041176
51,NY,0.179480389097035,0.682,0.682,179,0.0401952723041176
51,TX,0.1946047359485714,0.685,0.685,188,0.0401952723041176
52,CA,0.6305355646340389,0.7154,0.7154,627,0.0387752996757626
52,NY,0.1770991304245315,0.6706,0.6706,176,0.0387752996757626
52,TX,0.1923653049414296,0.6682,0.6682,197,0.0387752996757626
53,CA,0.6368519912251859,0.7148,0.7148,639,0.0375693943351507
53,NY,0.1742017139456373,0.6696,0.6696,171,0.0375693943351507
53,TX,0.1889462948291767,0.6612,0.6612,190,0.0375693943351507
54,CA,0.6436083926354358,0.7266,0.7266,643,0.038285749964416
54,NY,0.1714093754361093,0.6864,0.6864,187,0.038285749964416
54,TX,0.1849822319284547,0.6796,0.6796,170,0.038285749964416
55,CA,0.6494707147419664,0.7186,0.7186,658,0.0385456392541527
55,NY,0.1689434286833147,0.675,0.675,161,0.0385456392541527
55,TX,0.1815858565747188,0.6674,0.6674,181,0.0385456392541527
56,CA,0.6558294785208042,0.7314,0.7314,681,0.0379796139895916
56,NY,0.1662695296894382,0.6896,0.6896,164,0.0379796139895916
56,TX,0.1779009917897575,0.6836,0.6836,155,0.0379796139895916
57,CA,0.6617358488686729,0.7334,0.7334,684,0.0388012686744332
