t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.773,0.773,353,0.0563670024275779
0,NY,0.3333333333333333,0.7506,0.7506,324,0.0563670024275779
0,TX,0.3333333333333333,0.7688,0.7688,323,0.0563670024275779
1,CA,0.3350086917088655,0.7776,0.7776,321,0.0386143513023853
1,NY,0.3307762073917315,0.7548,0.7548,319,0.0386143513023853
1,TX,0.334215100899403,0.7682,0.7682,360,0.0386143513023853
2,CA,0.3370342568758849,0.772,0.772,331,0.0389633923768997
2,NY,0.3285079003041593,0.7524,0.7524,332,0.0389633923768997
2,TX,0.3344578428199558,0.7746,0.7746,337,0.0389633923768997
3,CA,0.3380968511001338,0.771,0.771,329,0.0393763780593872
3,NY,0.3258985480262369,0.7518,0.7518,323,0.0393763780593872
3,TX,0.3360046008736292,0.7702,0.7702,348,0.0393763780593872
4,CA,0.3393473308390314,0.772,0.772,330,0.0389125123620033
4,NY,0.3235576690207884,0.7556,0.7556,305,0.0389125123620033
4,TX,0.3370950001401801,0.7706,0.7706,365,0.0389125123620033
5,CA,0.3404575218499344,0.776,0.776,342,0.0404795818030834
5,NY,0.3216118547891036,0.7602,0.7602,322,0.0404795818030834
5,TX,0.3379306233609619,0.7702,0.7702,336,0.0404795818030834
6,CA,0.34181273716432,0.7764,0.7764,329,0.0387118719518184
6,NY,0.3200194778870553,0.7562,0.7562,344,0.0387118719518184
6,TX,0.3381677849486247,0.773,0.773,327,0.0387118719518184
7,CA,0.3432841522776482,0.7738,0.7738,358,0.0381780751049518
7,NY,0.3177423719716559,0.7468,0.7468,322,0.0381780751049518
7,TX,0.338973475750696,0.7604,0.7604,320,0.0381780751049518
8,CA,0.3458424443788724,0.77,0.77,328,0.0384478531777858
8,NY,0.3152377385903205,0.7532,0.7532,325,0.0384478531777858
8,TX,0.3389198170308072,0.7678,0.7678,347,0.0384478531777858
9,CA,0.3470269665431374,0.7724,0.7724,341,0.038355428725481
9,NY,0.3133151035833431,0.7544,0.7544,309,0.038355428725481
9,TX,0.3396579298735194,0.7686,0.7686,350,0.038355428725481
10,CA,0.3483892250228882,0.7742,0.7742,364,0.0377052761614322
10,NY,0.3113505942034821,0.7468,0.7468,311,0.0377052761614322
10,TX,0.3402601807736295,0.7654,0.7654,325,0.0377052761614322
11,CA,0.350667177323217,0.7698,0.7698,345,0.0388259999454021
11,NY,0.3085465609059671,0.7568,0.7568,305,0.0388259999454021
11,TX,0.3407862617708158,0.7696,0.7696,350,0.0388259999454021
12,CA,0.3514773074030008,0.7738,0.7738,356,0.0389925092458725
