t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.43,0.43,327,177.85430622287095
0,NY,0.3333333333333333,0.4,0.4,317,177.85430622287095
0,TX,0.3333333333333333,0.45,0.45,356,177.85430622287095
1,CA,0.3341121495327103,0.43,0.43,328,179.19892673194408
1,NY,0.32710280373831774,0.4,0.4,320,179.19892673194408
1,TX,0.338785046728972,0.45,0.45,352,179.19892673194408
2,CA,0.33482332907620266,0.43,0.43,315,179.02724802866578
2,NY,0.32092216000261975,0.4,0.4,332,179.02724802866578
2,TX,0.3442545109211776,0.45,0.45,353,179.02724802866578
3,CA,0.33546671543056006,0.43,0.43,347,178.89864981733263
3,NY,0.31479326434190763,0.4,0.4,296,178.89864981733263
3,TX,0.3497400202275322,0.45,0.45,357,178.89864981733263
4,CA,0.3360422165192234,0.43,0.43,342,179.08266461640596
4,NY,0.3087179157275726,0.4,0.4,327,179.08266461640596
4,TX,0.355239867753204,0.45,0.45,331,179.08266461640596
5,CA,0.33654980425637615,0.43,0.43,332,178.99333398230374
5,NY,0.3026978479794383,0.4,0.4,313,178.99333398230374
5,TX,0.3607523477641855,0.45,0.45,355,178.99333398230374
6,CA,0.3369895139440198,0.43,0.43,327,179.45785125344992
6,NY,0.296734728030124,0.4,0.4,296,179.45785125344992
6,TX,0.36627575802585616,0.45,0.45,377,179.45785125344992
7,CA,0.3373614435360956,0.43,0.43,328,179.28377226181328
7,NY,0.2908301543636286,0.4,0.4,287,179.28377226181328
7,TX,0.3718084021002758,0.45,0.45,385,179.28377226181328
8,CA,0.3376657527741513,0.43,0.43,332,179.41315672546625
8,NY,0.2849856556299321,0.4,0.4,256,179.41315672546625
8,TX,0.3773485915959166,0.45,0.45,412,179.41315672546625
9,CA,0.33790266219948756,0.43,0.43,328,179.07713512144983
9,NY,0.2792026894366525,0.4,0.4,286,179.07713512144983
9,TX,0.38289464836385995,0.45,0.45,386,179.07713512144983
10,CA,0.33807245204712266,0.43,0.43,354,179.46393035538495
10,NY,0.2734826413180411,0.4,0.4,237,179.46393035538495
10,TX,0.3884449066348362,0.45,0.45,409,179.46393035538495
11,CA,0.33817546102727786,0.43,0.43,333,180.17180031724274
11,NY,0.26782682388087153,0.4,0.4,275,180.17180031724274
11,TX,0.3939977150918507,0.45,0.45,392,180.17180031724274
12,CA,0.33821208500041167,0.43,0.43,325,179.83659773878753
12,NY,0.262236476126062,0.4,0.4,256,179.83659773878753
12,TX,0.3995514388735264,0.45,0.45,419,179.83659773878753
13,CA,0.33818277555211634,0.43,0.43,328,179.60361115820706
13,NY,0.2567127629441873,0.4,0.4,272,179.60361115820706
13,TX,0.40510446150369633,0.45,0.45,400,179.60361115820706
14,CA,0.3380880384744338,0.43,0.43,299,179.61170156300068
14,NY,0.25125677478237746,0.4,0.4,250,179.61170156300068
14,TX,0.4106551867431887,0.45,0.45,451,179.61170156300068
15,CA,0.3379284321603523,0.43,0.43,336,179.89845722913742
15,NY,0.24586952747947577,0.4,0.4,249,179.89845722913742
15,TX,0.4162020403601719,0.45,0.45,415,179.89845722913742
16,CA,0.33770456591840603,0.43,0.43,343,180.0690084733069
16,NY,0.24055196226574083,0.4,0.4,232,180.0690084733069
16,TX,0.4217434718158532,0.45,0.45,425,180.0690084733069
17,CA,0.33741709821442356,0.43,0.43,312,180.07021133601665
17,NY,0.23530494592282206,0.4,0.4,239,180.07021133601665
17,TX,0.42727795586275436,0.45,0.45,449,180.07021133601665
18,CA,0.3370667348475499,0.43,0.43,360,180.1628578826785
18,NY,0.2301292710992304,0.4,0.4,233,180.1628578826785
18,TX,0.4328039940532196,0.45,0.45,407,180.1628578826785
19,CA,0.3366542270677114,0.43,0.43,343,179.54411492310464
19,NY,0.2250256567760525,0.4,0.4,239,179.54411492310464
19,TX,0.4383201161562361,0.45,0.45,418,179.54411492310464
20,CA,0.33618036964169695,0.43,0.43,306,179.12782588228583
20,NY,0.21999474887723242,0.4,0.4,244,179.12782588228583
20,TX,0.44382488148107074,0.45,0.45,450,179.12782588228583
21,CA,0.33564599887499674,0.43,0.43,315,178.7248752452433
21,NY,0.21503712101836137,0.4,0.4,205,178.7248752452433
21,TX,0.4493168801066419,0.45,0.45,480,178.7248752452433
22,CA,0.3350519905964748,0.43,0.43,344,178.62356970459223
22,NY,0.21015327538757822,0.4,0.4,204,178.62356970459223
22,TX,0.45479473401594706,0.45,0.45,452,178.62356970459223
23,CA,0.33439925811284993,0.43,0.43,355,178.7152477055788
23,NY,0.2053436437518907,0.4,0.4,189,178.7152477055788
23,TX,0.46025709813525933,0.45,0.45,456,178.7152477055788
24,CA,0.33368875013983385,0.43,0.43,335,179.06044858507812
24,NY,0.2006085885819807,0.4,0.4,202,179.06044858507812
24,TX,0.46570266127818544,0.45,0.45,463,179.06044858507812
25,CA,0.3329214487166121,0.43,0.43,331,178.61893015541136
25,NY,0.19594840428835125,0.4,0.4,198,178.61893015541136
25,TX,0.4711301469950366,0.45,0.45,471,178.61893015541136
26,CA,0.3320983671101727,0.43,0.43,328,178.01760086603463
26,NY,0.1913633185615164,0.4,0.4,204,178.01760086603463
26,TX,0.47653831432831095,0.45,0.45,468,178.01760086603463
27,CA,0.3312205477157756,0.43,0.43,327,178.06431960314512
