t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.4052,0.4052,327,0.15266645699739456
0,NY,0.3333333333333333,0.409,0.409,317,0.15266645699739456
0,TX,0.3333333333333333,0.3728,0.3728,356,0.15266645699739456
1,CA,0.33561022211607355,0.4052,0.4052,329,0.03880839794874191
1,NY,0.33651779316933367,0.4092,0.4092,350,0.03880839794874191
1,TX,0.3278719847145928,0.3728,0.3728,321,0.03880839794874191
2,CA,0.3378406099356164,0.4052,0.4052,318,0.04068312048912048
2,NY,0.33971850003506066,0.409,0.409,348,0.04068312048912048
2,TX,0.32244089002932297,0.3728,0.3728,334,0.04068312048912048
3,CA,0.34005638621186696,0.4054,0.4054,352,0.038106128573417664
3,NY,0.34287129885278655,0.4092,0.4092,350,0.038106128573417664
3,TX,0.3170723149353465,0.3728,0.3728,298,0.038106128573417664
4,CA,0.3422563455463938,0.406,0.406,348,0.03838510811328888
4,NY,0.34602254139329675,0.4098,0.4098,322,0.03838510811328888
4,TX,0.31172111306030936,0.3732,0.3732,330,0.03838510811328888
5,CA,0.3444389929387893,0.4052,0.4052,340,0.03839980065822601
5,NY,0.34917036670043006,0.409,0.409,344,0.03839980065822601
5,TX,0.3063906403607806,0.3728,0.3728,316,0.03839980065822601
6,CA,0.3465600353940966,0.4054,0.4054,335,0.03855537623167038
6,NY,0.35227060033670726,0.4092,0.4092,364,0.03855537623167038
6,TX,0.30116936426919605,0.3728,0.3728,301,0.03855537623167038
7,CA,0.3486637008334328,0.4052,0.4052,340,0.03821152448654175
7,NY,0.35536720057064697,0.409,0.409,368,0.03821152448654175
7,TX,0.29596909859592024,0.3728,0.3728,292,0.03821152448654175
8,CA,0.3507200513220698,0.4054,0.4054,344,0.03787713497877121
8,NY,0.3584297534679165,0.4092,0.4092,393,0.03787713497877121
8,TX,0.2908501952100136,0.3728,0.3728,263,0.03787713497877121
9,CA,0.3527581074729332,0.4052,0.4052,343,0.03820808231830597
9,NY,0.36148738556636795,0.4092,0.4092,364,0.03820808231830597
9,TX,0.28575450696069893,0.3728,0.3728,293,0.03820808231830597
10,CA,0.35473030306444836,0.4052,0.4052,371,0.03817608952522278
10,NY,0.3645431367162814,0.4092,0.4092,385,0.03817608952522278
10,TX,0.2807265602192702,0.3728,0.3728,244,0.03817608952522278
11,CA,0.3566688250345798,0.4052,0.4052,376,0.038372352719306946
11,NY,0.3675786519327472,0.409,0.409,355,0.038372352719306946
11,TX,0.27575252303267306,0.3728,0.3728,269,0.038372352719306946
12,CA,0.35859233731659046,0.4052,0.4052,370,0.03743060678243637
12,NY,0.37056038298314314,0.409,0.409,346,0.03743060678243637
12,TX,0.27084727970026634,0.3728,0.3728,284,0.03743060678243637
13,CA,0.3604823098462233,0.4054,0.4054,364,0.03860212117433548
13,NY,0.373520799729976,0.4092,0.4092,374,0.03860212117433548
13,TX,0.26599689042380065,0.3728,0.3728,262,0.03860212117433548
14,CA,0.362352112645551,0.4052,0.4052,371,0.03800033777952194
14,NY,0.3764734176936221,0.409,0.409,357,0.03800033777952194
14,TX,0.261174469660827,0.3728,0.3728,272,0.03800033777952194
15,CA,0.3641743980611167,0.4052,0.4052,374,0.038144826889038086
15,NY,0.37938991474475053,0.409,0.409,384,0.038144826889038086
15,TX,0.25643568719413284,0.3728,0.3728,242,0.038144826889038086
16,CA,0.3659627596725794,0.4054,0.4054,339,0.04086870700120926
16,NY,0.38228399575880584,0.4092,0.4092,389,0.04086870700120926
16,TX,0.25175324456861464,0.3728,0.3728,272,0.04086870700120926
17,CA,0.36773010304250314,0.4052,0.4052,338,0.03736326843500137
17,NY,0.3851687920964556,0.4092,0.4092,400,0.03736326843500137
17,TX,0.2471011048610412,0.3728,0.3728,262,0.03736326843500137
18,CA,0.3694298697034721,0.4052,0.4052,374,0.03881172835826874
18,NY,0.3880506438222466,0.409,0.409,388,0.03881172835826874
18,TX,0.24251948647428126,0.3728,0.3728,238,0.03881172835826874
19,CA,0.3711156408231914,0.4052,0.4052,364,0.03858305513858795
19,NY,0.3908755558136357,0.409,0.409,384,0.03858305513858795
19,TX,0.238008803363173,0.3728,0.3728,252,0.03858305513858795
20,CA,0.37276729762350747,0.4054,0.4054,375,0.0378083810210228
20,NY,0.3936768806199192,0.4092,0.4092,403,0.0378083810210228
20,TX,0.23355582175657344,0.3728,0.3728,222,0.0378083810210228
21,CA,0.3743971125746873,0.4052,0.4052,402,0.038367196917533875
21,NY,0.3964672163378931,0.409,0.409,393,0.038367196917533875
21,TX,0.22913567108741964,0.3728,0.3728,205,0.038367196917533875
22,CA,0.3759803989775218,0.4054,0.4054,366,0.03813502937555313
22,NY,0.3992205119485589,0.4092,0.4092,393,0.03813502937555313
22,TX,0.22479908907391924,0.3728,0.3728,241,0.03813502937555313
23,CA,0.3775415557034551,0.4052,0.4052,369,0.03747193515300751
23,NY,0.40196208400491373,0.409,0.409,399,0.03747193515300751
23,TX,0.22049636029163125,0.3728,0.3728,232,0.03747193515300751
24,CA,0.3790566564224969,0.4052,0.4052,359,0.03800802677869797
24,NY,0.4046665507369304,0.4092,0.4092,413,0.03800802677869797
24,TX,0.2162767928405727,0.3728,0.3728,228,0.03800802677869797
25,CA,0.38051586976201585,0.4052,0.4052,385,0.03823713958263397
25,NY,0.4073806977172068,0.409,0.409,407,0.03823713958263397
25,TX,0.21210343252077732,0.3728,0.3728,208,0.03823713958263397
26,CA,0.38196307396408,0.4054,0.4054,396,0.038266830146312714
26,NY,0.41003592172296904,0.4092,0.4092,392,0.038266830146312714
26,TX,0.2080010043129509,0.3728,0.3728,212,0.038266830146312714
27,CA,0.3833878057491963,0.4052,0.4052,379,0.037679389119148254
27,NY,0.412678179641632,0.409,0.409,429,0.037679389119148254
27,TX,0.20393401460917157,0.3728,0.3728,192,0.037679389119148254
28,CA,0.3847676476447862,0.4052,0.4052,389,0.03761333227157593
28,NY,0.4152834377382149,0.409,0.409,428,0.03761333227157593
28,TX,0.19994891461699882,0.3728,0.3728,183,0.03761333227157593
29,CA,0.3861141197317025,0.4052,0.4052,371,0.0383157953619957
29,NY,0.41786365469154696,0.409,0.409,429,0.0383157953619957
29,TX,0.19602222557675048,0.3728,0.3728,200,0.0383157953619957
30,CA,0.3874273911216815,0.4052,0.4052,409,0.04710300266742706
30,NY,0.4204187618671231,0.409,0.409,400,0.04710300266742706
30,TX,0.19215384701119548,0.3728,0.3728,191,0.04710300266742706
31,CA,0.38870764599039465,0.4052,0.4052,381,0.03828277438879013
31,NY,0.4229487075616903,0.409,0.409,427,0.03828277438879013
31,TX,0.18834364644791501,0.3728,0.3728,192,0.03828277438879013
32,CA,0.38995508295595094,0.4054,0.4054,377,0.038519181311130524
32,NY,0.4254534565535346,0.4092,0.4092,426,0.038519181311130524
32,TX,0.1845914604905145,0.3728,0.3728,197,0.038519181311130524
33,CA,0.39118004891035496,0.4052,0.4052,392,0.039239540696144104
33,NY,0.4279439123124022,0.409,0.409,418,0.039239540696144104
33,TX,0.1808760387772428,0.3728,0.3728,190,0.039239540696144104
34,CA,0.3923623285230725,0.4052,0.4052,387,0.03771515190601349
34,NY,0.43039806615295173,0.4092,0.4092,432,0.03771515190601349
34,TX,0.17723960532397587,0.3728,0.3728,181,0.03771515190601349
35,CA,0.3934882927941072,0.4052,0.4052,426,0.03797470033168793
35,NY,0.4328618557994283,0.409,0.409,414,0.03797470033168793
35,TX,0.17364985140646455,0.3728,0.3728,160,0.03797470033168793
36,CA,0.39460633850767113,0.4054,0.4054,399,0.0374472439289093
36,NY,0.43526566531032557,0.4092,0.4092,432,0.0374472439289093
36,TX,0.17012799618200333,0.3728,0.3728,169,0.0374472439289093
37,CA,0.39570220983144555,0.4052,0.4052,387,0.038298673927783966
37,NY,0.4376546169964806,0.409,0.409,424,0.038298673927783966
37,TX,0.1666431731720739,0.3728,0.3728,189,0.038298673927783966
38,CA,0.39675710918802265,0.4054,0.4054,364,0.038851574063301086
38,NY,0.4400080358156754,0.4092,0.4092,467,0.038851574063301086
38,TX,0.163234854996302,0.3728,0.3728,169,0.038851574063301086
39,CA,0.39779005729741235,0.4052,0.4052,401,0.03802204132080078
39,NY,0.44234640274526843,0.4092,0.4092,437,0.03802204132080078
39,TX,0.15986353995731917,0.3728,0.3728,162,0.03802204132080078
40,CA,0.39875777791818,0.4052,0.4052,400,0.03760553151369095
40,NY,0.444684750647373,0.4092,0.4092,458,0.03760553151369095
40,TX,0.15655747143444712,0.3728,0.3728,142,0.03760553151369095
41,CA,0.39969464346678235,0.4052,0.4052,392,0.03798721730709076
41,NY,0.44699832001994183,0.409,0.409,447,0.03798721730709076
41,TX,0.15330703651327593,0.3728,0.3728,161,0.03798721730709076
42,CA,0.40062651761542273,0.4052,0.4052,427,0.03839141130447388
42,NY,0.44925209065675886,0.409,0.409,428,0.03839141130447388
42,TX,0.15012139172781838,0.3728,0.3728,145,0.03839141130447388
43,CA,0.4015285496011806,0.4052,0.4052,403,0.03832664340734482
43,NY,0.4514812271939478,0.409,0.409,448,0.03832664340734482
43,TX,0.1469902232048716,0.3728,0.3728,149,0.03832664340734482
44,CA,0.40240106420468313,0.4052,0.4052,367,0.038095347583293915
44,NY,0.4536858553496362,0.409,0.409,502,0.038095347583293915
44,TX,0.14391308044568082,0.3728,0.3728,131,0.038095347583293915
45,CA,0.4032443929633427,0.4054,0.4054,412,0.038192786276340485
45,NY,0.45586611107561786,0.4092,0.4092,441,0.038192786276340485
45,TX,0.14088949596103956,0.3728,0.3728,147,0.038192786276340485
46,CA,0.4040668752989582,0.4052,0.4052,396,0.0386325940489769
46,NY,0.4580310345917128,0.409,0.409,458,0.0386325940489769
46,TX,0.13790209010932897,0.3728,0.3728,146,0.0386325940489769
47,CA,0.40485269916724376,0.4052,0.4052,396,0.038875870406627655
47,NY,0.46016284258253937,0.4092,0.4092,480,0.038875870406627655
47,TX,0.13498445825021693,0.3728,0.3728,124,0.038875870406627655
48,CA,0.40558375582768347,0.4052,0.4052,420,0.03984753042459488
48,NY,0.4623060256963822,0.409,0.409,446,0.03984753042459488
48,TX,0.13211021847593432,0.3728,0.3728,134,0.03984753042459488
49,CA,0.4063134569121578,0.4052,0.4052,396,0.03858543932437897
49,NY,0.4643902143112744,0.409,0.409,473,0.03858543932437897
49,TX,0.12929632877656783,0.3728,0.3728,131,0.03858543932437897
50,CA,0.4070157178223513,0.4052,0.4052,409,0.037936627864837646
50,NY,0.46645084724655217,0.409,0.409,476,0.037936627864837646
50,TX,0.12653343493109642,0.3728,0.3728,115,0.037936627864837646
51,CA,0.4076909000464539,0.4052,0.4052,383,0.03846883773803711
51,NY,0.46848811221486936,0.4092,0.4092,495,0.03846883773803711
51,TX,0.12382098773867684,0.3728,0.3728,122,0.03846883773803711
52,CA,0.40831209917999284,0.4052,0.4052,422,0.03792445361614227
52,NY,0.47053756427126153,0.409,0.409,477,0.03792445361614227
52,TX,0.12115033654874555,0.3728,0.3728,101,0.03792445361614227
53,CA,0.40893406430794704,0.4054,0.4054,381,0.03844330459833145
53,NY,0.47252870032944466,0.4092,0.4092,473,0.03844330459833145
53,TX,0.11853723536260839,0.3728,0.3728,146,0.03844330459833145
54,CA,0.40953688979138686,0.4052,0.4052,404,0.03797297179698944
54,NY,0.4745048063756334,0.409,0.409,476,0.03797297179698944
54,TX,0.11595830383297956,0.3728,0.3728,120,0.03797297179698944
55,CA,0.41010714382740054,0.4054,0.4054,417,0.03950886428356171
55,NY,0.47645048637469584,0.4092,0.4092,481,0.03950886428356171
55,TX,0.11344236979790367,0.3728,0.3728,102,0.03950886428356171
56,CA,0.4106587336628062,0.4052,0.4052,409,0.03803978115320206
56,NY,0.4783812937723766,0.409,0.409,499,0.03803978115320206
56,TX,0.11095997256481717,0.3728,0.3728,92,0.03803978115320206
