t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7728,0.7728,336,0.683464340865612
0,NY,0.3333333333333333,0.7498,0.7498,334,0.683464340865612
0,TX,0.3333333333333333,0.7688,0.7688,330,0.683464340865612
1,CA,0.335034206448199,0.773,0.773,356,0.047838956117630005
1,NY,0.330687530710209,0.7478,0.7478,319,0.047838956117630005
1,TX,0.33427826284159207,0.763,0.763,325,0.047838956117630005
2,CA,0.33725520380798824,0.7734,0.7734,340,0.039468832314014435
2,NY,0.3281484279708628,0.754,0.754,314,0.039468832314014435
2,TX,0.334596368221149,0.7638,0.7638,346,0.039468832314014435
3,CA,0.3390866242868867,0.7688,0.7688,310,0.03901461511850357
3,NY,0.32632114206447976,0.7516,0.7516,344,0.03901461511850357
3,TX,0.3345922336486336,0.769,0.769,346,0.03901461511850357
4,CA,0.3401531230189872,0.7772,0.7772,349,0.039052814245224
4,NY,0.324164328730794,0.7532,0.7532,321,0.039052814245224
4,TX,0.33568254825021876,0.7742,0.7742,330,0.039052814245224
5,CA,0.34184329527966484,0.7752,0.7752,316,0.038779862225055695
5,NY,0.3213756619127742,0.7528,0.7528,309,0.038779862225055695
5,TX,0.33678104280756105,0.7682,0.7682,375,0.038779862225055695
6,CA,0.3436934709066474,0.7692,0.7692,369,0.038288190960884094
6,NY,0.3190378979056684,0.7514,0.7514,320,0.038288190960884094
6,TX,0.3372686311876843,0.775,0.775,311,0.038288190960884094
7,CA,0.3444181890180407,0.7686,0.7686,322,0.038919366896152496
7,NY,0.3164940039846722,0.7436,0.7436,306,0.038919366896152496
7,TX,0.339087806997287,0.7728,0.7728,372,0.038919366896152496
8,CA,0.34568635351996835,0.7752,0.7752,345,0.038286589086055756
8,NY,0.3131690846713675,0.7604,0.7604,315,0.038286589086055756
8,TX,0.3411445618086642,0.7712,0.7712,340,0.038286589086055756
9,CA,0.34685859973157673,0.7708,0.7708,341,0.03876087814569473
9,NY,0.311611290320963,0.7534,0.7534,311,0.03876087814569473
9,TX,0.3415301099474602,0.7732,0.7732,348,0.03876087814569473
10,CA,0.3477624451253398,0.776,0.776,342,0.039536334574222565
10,NY,0.30935339588850275,0.7558,0.7558,318,0.039536334574222565
10,TX,0.34288415898615754,0.7638,0.7638,340,0.039536334574222565
11,CA,0.3498172522312939,0.772,0.772,353,0.03867683559656143
11,NY,0.3076419209341237,0.7556,0.7556,302,0.03867683559656143
11,TX,0.3425408268345824,0.774,0.774,345,0.03867683559656143
12,CA,0.35068014820237414,0.7732,0.7732,353,0.03847014904022217
12,NY,0.3055465091933029,0.7524,0.7524,292,0.03847014904022217
12,TX,0.34377334260432285,0.7634,0.7634,355,0.03847014904022217
13,CA,0.3526139061996366,0.775,0.775,339,0.03837689757347107
13,NY,0.3036274992178069,0.7492,0.7492,313,0.03837689757347107
13,TX,0.3437585945825565,0.7732,0.7732,348,0.03837689757347107
14,CA,0.35430104886113273,0.7742,0.7742,340,0.04335083067417145
14,NY,0.300645851879515,0.7568,0.7568,316,0.04335083067417145
14,TX,0.3450530992593523,0.7722,0.7722,344,0.04335083067417145
15,CA,0.3554874786075379,0.776,0.776,365,0.04193490743637085
15,NY,0.29869423057056393,0.7558,0.7558,291,0.04193490743637085
15,TX,0.3458182908218981,0.773,0.773,344,0.04193490743637085
16,CA,0.3569084965895334,0.7702,0.7702,340,0.03917557746171951
16,NY,0.2964773336063025,0.756,0.756,296,0.03917557746171951
16,TX,0.3466141698041641,0.7682,0.7682,364,0.03917557746171951
17,CA,0.35789982907171414,0.7682,0.7682,371,0.03913396596908569
17,NY,0.2949159595841244,0.7586,0.7586,285,0.03913396596908569
17,TX,0.34718421134416133,0.768,0.768,344,0.03913396596908569
18,CA,0.35848790779552736,0.7624,0.7624,337,0.03895352780818939
18,NY,0.29379674368806213,0.7468,0.7468,289,0.03895352780818939
18,TX,0.3477153485164106,0.7712,0.7712,374,0.03895352780818939
19,CA,0.35879803562978657,0.7752,0.7752,348,0.039014242589473724
19,NY,0.29144809618002665,0.7548,0.7548,301,0.039014242589473724
19,TX,0.3497538681901868,0.7736,0.7736,351,0.039014242589473724
20,CA,0.36011767202019557,0.7722,0.7722,372,0.03898569941520691
20,NY,0.28915848226209345,0.7512,0.7512,288,0.03898569941520691
20,TX,0.3507238457177109,0.773,0.773,340,0.03898569941520691
21,CA,0.36129843597101235,0.7768,0.7768,383,0.03890535980463028
21,NY,0.2866689135228558,0.7584,0.7584,275,0.03890535980463028
21,TX,0.35203265050613175,0.7716,0.7716,342,0.03890535980463028
22,CA,0.36274903969434136,0.7782,0.7782,365,0.0385001003742218
22,NY,0.28483930658362844,0.7546,0.7546,288,0.0385001003742218
22,TX,0.35241165372203015,0.7714,0.7714,347,0.0385001003742218
23,CA,0.3646188043655337,0.7736,0.7736,355,0.03900911659002304
23,NY,0.28250766147644774,0.7544,0.7544,286,0.03900911659002304
23,TX,0.35287353415801853,0.7684,0.7684,359,0.03900911659002304
24,CA,0.36611726964506885,0.776,0.776,345,0.03905460983514786
24,NY,0.2805978383571489,0.7538,0.7538,283,0.03905460983514786
24,TX,0.35328489199778235,0.7706,0.7706,372,0.03905460983514786
25,CA,0.3678024115699024,0.7776,0.7776,388,0.03917660564184189
25,NY,0.2783657397737573,0.7596,0.7596,287,0.03917660564184189
25,TX,0.35383184865634043,0.7682,0.7682,325,0.03917660564184189
26,CA,0.3695354619340045,0.7686,0.7686,415,0.04048757255077362
26,NY,0.2768453563508577,0.743,0.743,261,0.04048757255077362
26,TX,0.35361918171513784,0.7704,0.7704,324,0.04048757255077362
27,CA,0.37088822600924687,0.7614,0.7614,365,0.038928426802158356
27,NY,0.2738368782953704,0.745,0.745,264,0.038928426802158356
27,TX,0.3552748956953827,0.7628,0.7628,371,0.038928426802158356
28,CA,0.3717310344211021,0.7738,0.7738,396,0.03891143947839737
28,NY,0.27190371919529954,0.7576,0.7576,262,0.03891143947839737
