t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.4976,0.4976,353,0.0677964240312576
0,NY,0.3333333333333333,0.494,0.494,324,0.0677964240312576
0,TX,0.3333333333333333,0.4614,0.4614,323,0.0677964240312576
1,CA,0.3363125982483719,0.4962,0.4962,322,0.0394704714417457
1,NY,0.3355041545025825,0.4924,0.4924,362,0.0394704714417457
1,TX,0.3281832472490456,0.4572,0.4572,316,0.0394704714417457
2,CA,0.3395061760569104,0.4944,0.4944,333,0.0385789945721626
2,NY,0.3378298614762257,0.4884,0.4884,340,0.0385789945721626
2,TX,0.3226639624668639,0.4572,0.4572,327,0.0385789945721626
3,CA,0.3427238166324343,0.4842,0.4842,333,0.0384202525019645
3,NY,0.3396623766419063,0.4786,0.4786,352,0.0384202525019645
3,TX,0.3176138067256595,0.449,0.449,315,0.0384202525019645
4,CA,0.3457715346528082,0.463,0.463,336,0.0381851345300674
4,NY,0.341389901739361,0.466,0.466,369,0.0381851345300674
4,TX,0.3128385636078306,0.429,0.429,295,0.0381851345300674
5,CA,0.3480583808619482,0.48,0.48,350,0.0387808829545974
5,NY,0.3443524465122947,0.478,0.478,342,0.0387808829545974
5,TX,0.3075891726257572,0.4422,0.4422,308,0.0387808829545974
6,CA,0.3509789946109743,0.442,0.442,338,0.0385390073060989
6,NY,0.346772717275087,0.4442,0.4442,337,0.0385390073060989
6,TX,0.3022482881139387,0.4106,0.4106,325,0.0385390073060989
7,CA,0.3531162284455423,0.5088,0.5088,368,0.0382965356111526
7,NY,0.3494166160784156,0.5036,0.5036,330,0.0382965356111526
7,TX,0.297467155476042,0.4642,0.4642,302,0.0382965356111526
8,CA,0.3566821042468274,0.4666,0.4666,339,0.0386651679873466
8,NY,0.351728725190336,0.4676,0.4676,360,0.0386651679873466
8,TX,0.2915891705628365,0.4296,0.4296,301,0.0386651679873466
9,CA,0.3592386288111178,0.5074,0.5074,352,0.0384831205010414
9,NY,0.3544912912299858,0.5012,0.5012,366,0.0384831205010414
9,TX,0.2862700799588963,0.4688,0.4688,282,0.0384831205010414
10,CA,0.3624238111989708,0.4588,0.4588,378,0.0382815152406692
10,NY,0.3561634160929778,0.4596,0.4596,341,0.0382815152406692
10,TX,0.2814127727080513,0.4278,0.4278,281,0.0382815152406692
11,CA,0.3645325588910294,0.477,0.477,358,0.0386530756950378
11,NY,0.3584321929645136,0.4748,0.4748,368,0.0386530756950378
11,TX,0.2770352481444569,0.4392,0.4392,274,0.0386530756950378
12,CA,0.3673330651950532,0.4912,0.4912,372,0.0386886373162269
12,NY,0.3606478450821319,0.4828,0.4828,357,0.0386886373162269
12,TX,0.2720190897228149,0.4558,0.4558,271,0.0386886373162269
13,CA,0.3704780836779026,0.4802,0.4802,391,0.0384454876184463
13,NY,0.3616866863427422,0.4734,0.4734,340,0.0384454876184463
13,TX,0.2678352299793552,0.4444,0.4444,269,0.0384454876184463
14,CA,0.3735183063579869,0.524,0.524,362,0.0396659672260284
14,NY,0.362979550497658,0.504,0.504,389,0.0396659672260284
14,TX,0.263502143144355,0.4734,0.4734,249,0.0396659672260284
15,CA,0.3786345433775233,0.4984,0.4984,356,0.0388277024030685
15,NY,0.3631226747815699,0.4882,0.4882,378,0.0388277024030685
15,TX,0.2582427818409069,0.4582,0.4582,266,0.0388277024030685
16,CA,0.3822275463698739,0.475,0.475,385,0.0380793437361717
16,NY,0.3640731525790862,0.4724,0.4724,361,0.0380793437361717
16,TX,0.2536993010510399,0.4386,0.4386,254,0.0380793437361717
17,CA,0.3848842246706851,0.4776,0.4776,376,0.0393569245934486
17,NY,0.365957431892503,0.4752,0.4752,363,0.0393569245934486
17,TX,0.2491583434368118,0.4364,0.4364,261,0.0393569245934486
18,CA,0.3878089650293745,0.479,0.479,391,0.0393537431955337
18,NY,0.3681394219934047,0.475,0.475,350,0.0393537431955337
18,TX,0.2440516129772207,0.446,0.446,259,0.0393537431955337
19,CA,0.3903230415237413,0.4662,0.4662,376,0.0391284897923469
19,NY,0.3695238866798925,0.4636,0.4636,393,0.0391284897923469
19,TX,0.2401530717963661,0.4308,0.4308,231,0.0391284897923469
20,CA,0.3928583688551756,0.5082,0.5082,382,0.0390249714255332
20,NY,0.3712645840822178,0.502,0.502,385,0.0390249714255332
20,TX,0.2358770470626066,0.4628,0.4628,233,0.0390249714255332
